,AFFGEOID,count_x,count_y,count_1,count_2,count
592,1500000US060371902012,12,10,8,14,7
593,1500000US060372183004,12,6,16,8,6
594,1500000US060371912032,12,14,7,17,16
595,1500000US060372170011,12,4,8,7,2
596,1500000US060371173024,12,13,11,15,11
597,1500000US060372037203,12,7,15,3,12
598,1500000US060371230202,12,9,8,2,11
599,1500000US060372946202,12,3,5,2,5
600,1500000US060371351131,12,26,22,18,7
601,1500000US060371154011,11,4,7,8,3
602,1500000US060371436042,11,10,8,9,9
603,1500000US060372288004,11,16,16,20,14
604,1500000US060379800151,11,4,10,2,1
605,1500000US060371254012,11,35,25,19,19
606,1500000US060371919022,11,3,1,8,8
607,1500000US060371132371,11,7,9,3,4
608,1500000US060372084021,11,9,2,7,10
609,1500000US060371278053,11,4,7,12,16
610,1500000US060371327004,11,20,16,7,7
611,1500000US060371064061,11,3,13,5,14
612,1500000US060371048211,11,11,10,9,5
613,1500000US060372282101,11,12,12,10,15
614,1500000US060371134221,11,1,9,7,8
615,1500000US060371864012,11,6,13,8,8
616,1500000US060372036001,11,25,27,19,9
617,1500000US060372944211,11,14,11,10,6
618,1500000US060372378004,11,13,7,12,9
619,1500000US060371348004,11,9,7,2,4
620,1500000US060372412012,11,11,13,5,8
621,1500000US060372294201,11,23,14,8,16
622,1500000US060371061122,11,9,14,11,7
623,1500000US060372948202,11,15,14,9,4
624,1500000US060372198002,11,11,1,7,9
625,1500000US060372371013,11,12,8,10,1
626,1500000US060372311003,11,7,10,5,5
627,1500000US060372948301,11,9,18,4,12
628,1500000US060372933041,11,11,22,7,2
629,1500000US060372014012,11,11,9,16,3
630,1500000US060372360002,11,8,8,2,1
631,1500000US060372288002,11,11,4,3,4
632,1500000US060371153021,11,14,10,21,9
633,1500000US060372189001,11,9,14,15,10
634,1500000US060372195001,11,13,8,6,8
635,1500000US060371375022,11,12,6,14,7
636,1500000US060371253103,11,5,9,7,14
637,1500000US060372321202,11,12,26,16,20
638,1500000US060371892012,11,14,8,8,12
639,1500000US060372408002,11,13,19,12,8
640,1500000US060372240102,11,20,16,10,10
641,1500000US060371973003,11,12,22,15,8
642,1500000US060372965002,11,8,8,5,4
643,1500000US060372049101,11,15,15,6,13
644,1500000US060371211023,11,26,12,12,3
645,1500000US060371249021,11,3,9,6,4
646,1500000US060372920003,11,4,4,8,10
647,1500000US060372324005,11,5,18,15,14
648,1500000US060372422001,11,6,8,9,8
649,1500000US060371990003,11,7,14,14,10
650,1500000US060372114101,11,14,14,19,10
651,1500000US060372216021,11,7,12,11,7
652,1500000US060372430002,11,8,8,7,17
653,1500000US060372124102,11,12,6,6,4
654,1500000US060371175101,11,8,16,11,20
655,1500000US060372212101,11,14,13,9,16
656,1500000US060372422004,11,9,5,6,8
657,1500000US060372756021,11,13,22,7,7
658,1500000US060371904011,11,21,13,9,4
659,1500000US060372933042,11,12,8,11,6
